antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
Cesarea_alta,"Instrucao_12_mais_alta, Pre_natal_7_mais_alto",0.3783783783783784,0.2972972972972973,0.2972972972972973,0.7857142857142857,2.642857142857143,1.0,0.1848064280496713,3.2792792792792786,1.0,0.7857142857142858,0.695054945054945,0.8928571428571428
Pre_natal_7_mais_alto,"Cesarea_alta, Instrucao_12_mais_alta",0.3783783783783784,0.2972972972972973,0.2972972972972973,0.7857142857142857,2.642857142857143,1.0,0.1848064280496713,3.2792792792792786,1.0,0.7857142857142858,0.695054945054945,0.8928571428571428
Mae_30_34_alta,"Mae_35_39_alta, Cesarea_alta",0.3783783783783784,0.2702702702702703,0.2702702702702703,0.7142857142857143,2.642857142857143,1.0,0.16800584368151936,2.554054054054054,1.0,0.7142857142857143,0.6084656084656085,0.8571428571428572
Pre_natal_7_mais_alto,"Mae_30_34_alta, Instrucao_12_mais_alta",0.3783783783783784,0.2702702702702703,0.2702702702702703,0.7142857142857143,2.642857142857143,1.0,0.16800584368151936,2.554054054054054,1.0,0.7142857142857143,0.6084656084656085,0.8571428571428572
Cesarea_alta,"Mae_30_34_alta, Instrucao_12_mais_alta",0.3783783783783784,0.2702702702702703,0.2702702702702703,0.7142857142857143,2.642857142857143,1.0,0.16800584368151936,2.554054054054054,1.0,0.7142857142857143,0.6084656084656085,0.8571428571428572
Cesarea_alta,"Mae_30_34_alta, Instrucao_12_mais_alta, Pre_natal_7_mais_alto",0.3783783783783784,0.2702702702702703,0.2702702702702703,0.7142857142857143,2.642857142857143,1.0,0.16800584368151936,2.554054054054054,1.0,0.7142857142857143,0.6084656084656085,0.8571428571428572
Pre_natal_7_mais_alto,"Cesarea_alta, Mae_30_34_alta, Instrucao_12_mais_alta",0.3783783783783784,0.2702702702702703,0.2702702702702703,0.7142857142857143,2.642857142857143,1.0,0.16800584368151936,2.554054054054054,1.0,0.7142857142857143,0.6084656084656085,0.8571428571428572
"Cesarea_alta, Mae_30_34_alta",Pre_natal_7_mais_alto,0.32432432432432434,0.3783783783783784,0.2972972972972973,0.9166666666666666,2.4226190476190474,1.0,0.17457998539079622,7.459459459459456,0.8690909090909091,0.7333333333333333,0.8659420289855072,0.8511904761904762
"Cesarea_alta, Pre_natal_7_mais_alto",Mae_30_34_alta,0.32432432432432434,0.3783783783783784,0.2972972972972973,0.9166666666666666,2.4226190476190474,1.0,0.17457998539079622,7.459459459459456,0.8690909090909091,0.7333333333333333,0.8659420289855072,0.8511904761904762
"Mae_30_34_alta, Pre_natal_7_mais_alto",Cesarea_alta,0.32432432432432434,0.3783783783783784,0.2972972972972973,0.9166666666666666,2.4226190476190474,1.0,0.17457998539079622,7.459459459459456,0.8690909090909091,0.7333333333333333,0.8659420289855072,0.8511904761904762
"Cesarea_alta, Pre_natal_7_mais_alto",Instrucao_12_mais_alta,0.32432432432432434,0.3783783783783784,0.2972972972972973,0.9166666666666666,2.4226190476190474,1.0,0.17457998539079622,7.459459459459456,0.8690909090909091,0.7333333333333333,0.8659420289855072,0.8511904761904762
Cesarea_alta,"Mae_30_34_alta, Pre_natal_7_mais_alto",0.3783783783783784,0.32432432432432434,0.2972972972972973,0.7857142857142857,2.4226190476190474,1.0,0.17457998539079622,3.153153153153153,0.9446640316205535,0.7333333333333333,0.6828571428571428,0.8511904761904762
Mae_30_34_alta,"Cesarea_alta, Pre_natal_7_mais_alto",0.3783783783783784,0.32432432432432434,0.2972972972972973,0.7857142857142857,2.4226190476190474,1.0,0.17457998539079622,3.153153153153153,0.9446640316205535,0.7333333333333333,0.6828571428571428,0.8511904761904762
Pre_natal_7_mais_alto,"Cesarea_alta, Mae_30_34_alta",0.3783783783783784,0.32432432432432434,0.2972972972972973,0.7857142857142857,2.4226190476190474,1.0,0.17457998539079622,3.153153153153153,0.9446640316205535,0.7333333333333333,0.6828571428571428,0.8511904761904762
Instrucao_12_mais_alta,"Cesarea_alta, Pre_natal_7_mais_alto",0.3783783783783784,0.32432432432432434,0.2972972972972973,0.7857142857142857,2.4226190476190474,1.0,0.17457998539079622,3.153153153153153,0.9446640316205535,0.7333333333333333,0.6828571428571428,0.8511904761904762
Mae_30_34_alta,"Mae_35_39_alta, Pre_natal_7_mais_alto",0.3783783783783784,0.2972972972972973,0.2702702702702703,0.7142857142857143,2.4025974025974026,1.0,0.15777940102264426,2.459459459459459,0.9391304347826087,0.6666666666666667,0.5934065934065935,0.8116883116883117
Mae_30_34_alta,"Instrucao_12_mais_alta, Pre_natal_7_mais_alto",0.3783783783783784,0.2972972972972973,0.2702702702702703,0.7142857142857143,2.4025974025974026,1.0,0.15777940102264426,2.459459459459459,0.9391304347826087,0.6666666666666667,0.5934065934065935,0.8116883116883117
Mae_30_34_alta,"Cesarea_alta, Instrucao_12_mais_alta",0.3783783783783784,0.2972972972972973,0.2702702702702703,0.7142857142857143,2.4025974025974026,1.0,0.15777940102264426,2.459459459459459,0.9391304347826087,0.6666666666666667,0.5934065934065935,0.8116883116883117
Mae_30_34_alta,"Cesarea_alta, Instrucao_12_mais_alta, Pre_natal_7_mais_alto",0.3783783783783784,0.2972972972972973,0.2702702702702703,0.7142857142857143,2.4025974025974026,1.0,0.15777940102264426,2.459459459459459,0.9391304347826087,0.6666666666666667,0.5934065934065935,0.8116883116883117
Instrucao_12_mais_alta,"Cesarea_alta, Mae_30_34_alta, Pre_natal_7_mais_alto",0.3783783783783784,0.2972972972972973,0.2702702702702703,0.7142857142857143,2.4025974025974026,1.0,0.15777940102264426,2.459459459459459,0.9391304347826087,0.6666666666666667,0.5934065934065935,0.8116883116883117
"Mae_35_39_alta, Pre_natal_7_mais_alto",Mae_30_34_alta,0.2972972972972973,0.3783783783783784,0.2702702702702703,0.9090909090909091,2.402597402597402,1.0,0.15777940102264426,6.837837837837835,0.8307692307692308,0.6666666666666667,0.8537549407114624,0.8116883116883117
"Instrucao_12_mais_alta, Pre_natal_7_mais_alto",Mae_30_34_alta,0.2972972972972973,0.3783783783783784,0.2702702702702703,0.9090909090909091,2.402597402597402,1.0,0.15777940102264426,6.837837837837835,0.8307692307692308,0.6666666666666667,0.8537549407114624,0.8116883116883117
"Cesarea_alta, Instrucao_12_mais_alta",Mae_30_34_alta,0.2972972972972973,0.3783783783783784,0.2702702702702703,0.9090909090909091,2.402597402597402,1.0,0.15777940102264426,6.837837837837835,0.8307692307692308,0.6666666666666667,0.8537549407114624,0.8116883116883117
"Cesarea_alta, Mae_30_34_alta, Pre_natal_7_mais_alto",Instrucao_12_mais_alta,0.2972972972972973,0.3783783783783784,0.2702702702702703,0.9090909090909091,2.402597402597402,1.0,0.15777940102264426,6.837837837837835,0.8307692307692308,0.6666666666666667,0.8537549407114624,0.8116883116883117
